iter,eval_func_value,time
0,2.6030417137291404e-05,0.001265595999999647
1,2.994911095648495e-05,0.002351733999999439
2,2.7394032344289294e-05,0.0034337549999996497
3,2.7445409752925667e-05,0.00446689400000011
4,2.7147523301432304e-05,0.005472280999999413
5,2.716401995185402e-05,0.006477127000000138
6,2.71158714588757e-05,0.007473957000000198
7,2.7120156013302406e-05,0.008456841999999298
8,2.7110810151162864e-05,0.009449064000000007
9,2.7112540195228698e-05,0.010431929000001006
10,2.7110111550187595e-05,0.011409954999999528
11,2.711099229397597e-05,0.012389492000000502
12,2.7110114113115458e-05,0.013360313999999818
13,2.7110583953305954e-05,0.014363377000000455
14,2.7110193560341772e-05,0.015360006999999953
15,2.711044313917676e-05,0.016342972000000344
16,2.7110251231369106e-05,0.017355230999999804
17,2.7110384495437784e-05,0.018332536000000843
18,2.711028829353556e-05,0.019309407999999806
19,2.7110350070700902e-05,0.02028462900000072
20,2.7110303479530768e-05,0.021259828999999897
21,2.711033812084506e-05,0.022240179000000637
22,2.7110313188463854e-05,0.023224727000000556
23,2.7110330631408526e-05,0.0242024530000009
24,2.711031959911655e-05,0.025195967000000152
25,2.7110328299905605e-05,0.026175966000000273
26,2.7110318949369763e-05,0.02715082599999974
27,2.7110326454307075e-05,0.028136685999999855
28,2.7110323791480915e-05,0.02910785899999979
29,2.711032632850465e-05,0.030077959999999848
30,2.7110323447000506e-05,0.031059292000000127
31,2.7110324317638452e-05,0.032024865000000347
32,2.711032135363414e-05,0.03300038599999944
33,2.7110323801934538e-05,0.033990623999999414
34,2.7110323376963322e-05,0.03496549399999971
35,2.7110323999616175e-05,0.03593427100000035
36,2.7110323115338962e-05,0.03691635500000068
37,2.711032341380002e-05,0.03790641299999997
38,2.711032257072136e-05,0.038886953000000446
39,2.711032528077557e-05,0.039859297999999654
40,2.711032031517064e-05,0.04082833700000066
41,2.7110325780425524e-05,0.0418022950000001
42,2.7110323126140377e-05,0.04276805800000005
43,2.7110323275646584e-05,0.043737146999999865
44,2.711032684946585e-05,0.044700896000000157
45,2.7110325249223546e-05,0.04566601700000028
46,2.7110322724222644e-05,0.046643580999999656
47,2.7110323487552784e-05,0.047718719000000576
48,2.7110323850831493e-05,0.04874779000000018
49,2.7110326469825857e-05,0.0497489489999996
50,2.7110323388231578e-05,0.05074338500000053
51,2.711032461835586e-05,0.05172128000000065
52,2.711032176349768e-05,0.05270076799999934
53,2.7110324702765007e-05,0.05366827399999963
54,2.7110323489286058e-05,0.05463645100000036
55,2.7110324173194415e-05,0.05559958899999984
56,2.7110324013062216e-05,0.05656925799999968
57,2.7110323302973053e-05,0.057531033000000065
58,2.7110324392520203e-05,0.058508417000000534
59,2.7110323001832193e-05,0.059483576999999954
60,2.7110322807578383e-05,0.060468666000000226
61,2.7110324546918284e-05,0.061443125000000265
62,2.7110322982590278e-05,0.06240784400000088
63,2.7110323190642207e-05,0.06339400500000103
64,2.7110323944678976e-05,0.06436823499999988
65,2.7110323227160846e-05,0.0653412410000005
66,2.711032518233857e-05,0.06631454700000106
67,2.711032203522537e-05,0.06733059399999952
68,2.7110324355234816e-05,0.06830839000000033
69,2.7110322313582267e-05,0.06928631599999946
70,2.7110324125207952e-05,0.07027418100000027
71,2.7110325235958492e-05,0.07127786500000077
72,2.7110324078891706e-05,0.07225235399999974
73,2.711032353995591e-05,0.07321846700000023
74,2.7110325215425688e-05,0.07418744599999982
75,2.7110323447575143e-05,0.07516186400000002
76,2.7110323471213485e-05,0.07614262500000102
77,2.7110325077020162e-05,0.07712253300000071
78,2.711032327109228e-05,0.0780882260000002
79,2.7110323014525856e-05,0.07905157400000107
80,2.7110325796087445e-05,0.08002080400000011
81,2.7110322884053214e-05,0.0809902840000003
82,2.7110326862623695e-05,0.08197579399999988
83,2.711032394319807e-05,0.08295204600000083
84,2.711032338553177e-05,0.08393007100000105
85,2.7110323293506108e-05,0.08491763500000005
86,2.711032426336059e-05,0.08588625299999997
87,2.7110324221103215e-05,0.08685592299999989
88,2.711032086015495e-05,0.08782403100000025
89,2.7110322876897154e-05,0.08878795999999944
90,2.71103224395667e-05,0.08975803000000049
91,2.7110322726717308e-05,0.09072988299999984
92,2.711032378834179e-05,0.09171775699999962
93,2.7110324498979973e-05,0.09270340700000013
94,2.711032223730621e-05,0.09368189199999932
95,2.7110324462340133e-05,0.09465951800000028
96,2.7110322446053446e-05,0.09564005800000075
