iter,eval_func_value,time
0,1.6737221844289232e-07,0.034064951000000065
1,2.7893696338566355e-08,0.05680036900000007
2,9.66046597815296e-09,0.07909851900000009
3,1.0827536052007919e-07,0.10215785
4,3.474611571666592e-08,0.12453856600000002
5,1.3796977789311497e-08,0.14654310000000004
6,6.096937365111124e-09,0.168224308
7,1.6942130991267279e-09,0.18961570800000005
8,2.5709702342266037e-09,0.21157630500000002
9,2.8699089616743194e-09,0.23334177200000006
10,2.879988446301773e-09,0.2554049050000001
11,2.879389370687975e-09,0.27721739199999995
12,2.8791217815356173e-09,0.298711308
13,2.879056282381202e-09,0.32029541000000006
14,2.8790414898434034e-09,0.34098471100000005
15,2.879038247877984e-09,0.36275270800000003
16,2.879037563553342e-09,0.38493657299999995
17,2.8790374026365836e-09,0.406678545
18,2.8790373689041855e-09,0.42791957299999994
19,2.8790373694773977e-09,0.450061481
20,2.879037382942146e-09,0.472132286
21,2.879037410313413e-09,0.494075621
22,2.8790373842078578e-09,0.515327652
23,2.8790374143101626e-09,0.536940984
24,2.8790373795620487e-09,0.559094764
25,2.8790374131212923e-09,0.5812612170000001
26,2.879037377807446e-09,0.603252778
27,2.8790374167928873e-09,0.6252058880000001
28,2.879037390110349e-09,0.647261041
29,2.8790374171057162e-09,0.6698526459999999
